주소,위도,경도,CCTV 수량,설치목적
서울특별시 광진구 용마도시자연공원-사방댐,37.54464,127.06862,1,생활방범
서울특별시 광진구 긴고랑로8길 90 (중곡동),37.53611,127.07357,1,생활방범
서울특별시 광진구 긴고랑로9길 46 (중곡동),37.53058,127.07502,1,생활방범
서울특별시 광진구 능동로 13길 39,37.54851,127.10301,1,생활방범
서울특별시 광진구 능동로 16길 14,37.55145,127.10984,1,생활방범
서울특별시 광진구 능동로 17길 6,37.54892,127.10899,1,생활방범
서울특별시 광진구 능동로 21길 14-10,37.5508,127.10134,1,생활방범
서울특별시 광진구 능동로 237,37.54877,127.10184,1,생활방범
서울특별시 광진구 능동로 25-1 (자양동),37.54127,127.09892,1,생활방범
서울특별시 광진구 능동로 25길 48,37.53939,127.08896,1,생활방범
서울특별시 광진구 능동로 267-14,37.53915,127.08832,1,생활방범
서울특별시 광진구 능동로 32길 35 (능동),37.54399,127.09044,1,생활방범
서울특별시 광진구 능동로 386-16,37.5437,127.08877,1,생활방범
서울특별시 광진구 능동로 3길 20 (자양동),37.54341,127.08724,1,생활방범
서울특별시 광진구 능동로 411 (중곡동),37.54433,127.08661,1,생활방범
서울특별시 광진구 능동로 48길 36 (중곡동),37.54074,127.08609,1,생활방범
서울특별시 광진구 능동로 49 (자양동) 도로명 주소 X,37.54163,127.08669,1,생활방범
서울특별시 광진구 능동로103,37.53849,127.08439,1,생활방범
서울특별시 광진구 자양로23길 79,37.52969,127.08183,1,어린이보호
서울특별시 광진구 자양로23길 79,37.53127,127.0843,1,어린이보호
서울특별시 광진구 자양로40길 41 (구의동),37.54161,127.10095,1,어린이보호
서울특별시 광진구 자양로40길 53  (구의동),37.54206,127.10178,1,어린이보호
서울특별시 광진구 자양로41길 20,37.54346,127.09654,1,어린이보호
서울특별시 광진구 자양로43길 115,37.54019,127.1022,1,어린이보호
서울특별시 광진구 자양로4길 63,37.54274,127.09125,1,어린이보호
서울특별시 광진구 자양로50길 13 (구의동),37.53731,127.0912,1,어린이보호
"서울특별시 광진구 자양로50길 53 (구의동, 남광하이츠빌라)",37.53712,127.09294,1,어린이보호
"서울특별시 광진구 자양로50길 79 (구의동, 유진아트빌라)",37.53399,127.09152,1,어린이보호
서울특별시 광진구 자양로52길 21-19 (구의동),37.55492,127.09585,1,어린이보호
서울특별시 광진구 자양로52길 3-9 (구의동),37.54922,127.09082,1,어린이보호
서울특별시 광진구 자양로5길 33 (자양동,37.55475,127.07158,1,어린이보호
서울특별시 광진구 자양로5길 33 (자양동,37.55369,127.07348,1,어린이보호
"서울특별시 광진구 자양로6길 40 (자양동, 대양샤인빌)",37.54972,127.07094,1,어린이보호
서울특별시 광진구 자양로6길 8 (자양동),37.55105,127.07163,1,어린이보호
서울특별시 광진구 자양번영로4길 42-22 (자양동),37.53184,127.08841,1,어린이보호
서울특별시 광진구 자양번영로6길 20 (자양동),37.53356,127.07303,1,어린이보호
서울특별시 광진구 천호대로 664 (능동),37.56348,127.0868,1,어린이보호
서울특별시 광진구 천호대로102길 36 (군자동),37.57058,127.08,1,어린이보호
서울특별시 광진구 천호대로111길 41 (중곡동),37.54404,127.06591,1,어린이보호
서울특별시 광진구 천호대로113길 50-4 (중곡동),37.54357,127.06564,1,어린이보호
